Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE
People,Hispanic or Latino and Race,Not Hispanic or Latino,709067,(+/- 2023 ),710396,(+/- 2753 ),702990,(+/- 2945 ),715312,(+/- 3867 ),681860,(+/- 3013 )
People,Place of Birth,Total population,796981,(+/- 2064 ),749490,(+/- 2779 ),779596,(+/- 2921 ),781940,(+/- 3977 ),815554,(+/- 3007 )
People,Place of Birth,Native,734099,(+/- 2983 ),733481,(+/- 3267 ),741377,(+/- 3905 ),748086,(+/- 4933 ),738104,(+/- 4815 )
People,Place of Birth,Born in United States,727462,(+/- 3283 ),730584,(+/- 3254 ),734610,(+/- 4099 ),737567,(+/- 5032 ),730288,(+/- 5036 )
People,Place of Birth,State of residence,468067,(+/- 6320 ),462348,(+/- 5785 ),506098,(+/- 7742 ),482816,(+/- 7759 ),488157,(+/- 7459 )
People,Place of Birth,Different state,259395,(+/- 6142 ),268236,(+/- 5695 ),228512,(+/- 7354 ),254751,(+/- 7499 ),242131,(+/- 7087 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",6637,(+/- 971 ),2897,(+/- 650 ),6767,(+/- 1425 ),10519,(+/- 1658 ),7816,(+/- 1268 )
People,Place of Birth,Foreign born,62882,(+/- 2270 ),16009,(+/- 1616 ),38219,(+/- 2710 ),33854,(+/- 2860 ),77450,(+/- 3682 )
People,Ancestry,Total population,796981,(+/- 2064 ),749490,(+/- 2779 ),779596,(+/- 2921 ),781940,(+/- 3977 ),815554,(+/- 3007 )
People,Ancestry,American,53238,(+/- 4137 ),55639,(+/- 3710 ),57790,(+/- 5238 ),81375,(+/- 5248 ),40794,(+/- 3727 )
People,Ancestry,Arab,4006,(+/- 1159 ),664,(+/- 662 ),1906,(+/- 1352 ),1372,(+/- 770 ),4921,(+/- 1802 )
People,Ancestry,Czech,3290,(+/- 945 ),1294,(+/- 447 ),6127,(+/- 1323 ),3059,(+/- 1644 ),2913,(+/- 781 )
People,Ancestry,Danish,1294,(+/- 431 ),766,(+/- 332 ),1234,(+/- 597 ),878,(+/- 358 ),1703,(+/- 649 )
People,Ancestry,Dutch,10585,(+/- 1567 ),11699,(+/- 1841 ),14157,(+/- 2016 ),9451,(+/- 1745 ),8336,(+/- 1480 )
People,Ancestry,English,66184,(+/- 4611 ),56711,(+/- 3829 ),58077,(+/- 3998 ),53798,(+/- 4768 ),59827,(+/- 4053 )
People,Ancestry,French (except Basque),19969,(+/- 2085 ),12770,(+/- 1330 ),14600,(+/- 1884 ),15653,(+/- 2462 ),15611,(+/- 2379 )
People,Ancestry,French Canadian,2889,(+/- 905 ),845,(+/- 430 ),2042,(+/- 637 ),2399,(+/- 833 ),1238,(+/- 707 )
People,Ancestry,German,110737,(+/- 5406 ),80029,(+/- 3574 ),122810,(+/- 6667 ),97980,(+/- 5998 ),96225,(+/- 6723 )
People,Ancestry,Greek,2391,(+/- 1045 ),508,(+/- 269 ),1074,(+/- 932 ),1113,(+/- 602 ),425,(+/- 260 )
People,Ancestry,Hungarian,1056,(+/- 500 ),944,(+/- 546 ),841,(+/- 549 ),668,(+/- 343 ),626,(+/- 425 )
People,Ancestry,Irish,89983,(+/- 4446 ),88131,(+/- 3966 ),84798,(+/- 6228 ),87053,(+/- 6377 ),73841,(+/- 6135 )
People,Ancestry,Italian,18574,(+/- 2053 ),11005,(+/- 1498 ),10946,(+/- 1930 ),15068,(+/- 2451 ),17455,(+/- 2524 )
People,Ancestry,Lithuanian,146,(+/- 125 ),307,(+/- 241 ),202,(+/- 193 ),275,(+/- 258 ),322,(+/- 247 )
People,Ancestry,Norwegian,5465,(+/- 1226 ),2323,(+/- 670 ),5143,(+/- 1221 ),5392,(+/- 1415 ),4624,(+/- 1307 )
People,Ancestry,Polish,8419,(+/- 1691 ),4151,(+/- 887 ),6156,(+/- 1290 ),8322,(+/- 1550 ),6974,(+/- 1699 )
People,Ancestry,Portuguese,883,(+/- 663 ),1338,(+/- 685 ),757,(+/- 390 ),1303,(+/- 707 ),508,(+/- 364 )
People,Ancestry,Russian,2866,(+/- 742 ),825,(+/- 444 ),4037,(+/- 2403 ),3030,(+/- 1490 ),1861,(+/- 641 )
People,Ancestry,Scotch-Irish,9669,(+/- 1661 ),5533,(+/- 1057 ),9376,(+/- 1669 ),9511,(+/- 1561 ),9010,(+/- 1712 )
People,Ancestry,Scottish,16588,(+/- 1958 ),9973,(+/- 1385 ),15504,(+/- 2699 ),15104,(+/- 2039 ),13007,(+/- 2225 )
People,Ancestry,Slovak,678,(+/- 453 ),33,(+/- 42 ),83,(+/- 99 ),227,(+/- 222 ),65,(+/- 78 )
People,Ancestry,Subsaharan African,3924,(+/- 1034 ),1211,(+/- 568 ),2202,(+/- 936 ),4023,(+/- 1587 ),5418,(+/- 2237 )
People,Ancestry,Swedish,6276,(+/- 1137 ),3966,(+/- 928 ),4218,(+/- 1285 ),5075,(+/- 1551 ),3841,(+/- 848 )
People,Ancestry,Swiss,1707,(+/- 1127 ),554,(+/- 258 ),1641,(+/- 761 ),721,(+/- 372 ),1485,(+/- 731 )
People,Ancestry,Ukrainian,713,(+/- 468 ),740,(+/- 804 ),1220,(+/- 1400 ),788,(+/- 393 ),818,(+/- 511 )
People,Ancestry,Welsh,6050,(+/- 1170 ),3078,(+/- 1153 ),3258,(+/- 821 ),4456,(+/- 1083 ),4909,(+/- 1496 )
People,Ancestry,West Indian (excluding Hispanic origin groups),4362,(+/- 992 ),5026,(+/- 869 ),2844,(+/- 804 ),4633,(+/- 908 ),3665,(+/- 1595 )
People,Veteran Status,Civilian population 18 years and over,595360,(+/- 1530 ),572472,(+/- 2115 ),587171,(+/- 2766 ),586734,(+/- 3280 ),604827,(+/- 2440 )
People,Veteran Status,Civilian veterans,48891,(+/- 2184 ),56211,(+/- 2218 ),50377,(+/- 2857 ),66789,(+/- 3436 ),53540,(+/- 3149 )
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,791705,(+/- 2105 ),732671,(+/- 3338 ),759469,(+/- 3244 ),758776,(+/- 4167 ),803076,(+/- 4783 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,111379,(+/- 3685 ),157096,(+/- 4117 ),114732,(+/- 3962 ),117961,(+/- 4723 ),119084,(+/- 5446 )
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,201063,(+/- 1012 ),176130,(+/- 1407 ),189315,(+/- 2182 ),184017,(+/- 2824 ),209325,(+/- 2368 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,9681,(+/- 1110 ),10880,(+/- 1250 ),8613,(+/- 1371 ),6338,(+/- 1141 ),10845,(+/- 2119 )
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,481140,(+/- 1578 ),425970,(+/- 2674 ),454098,(+/- 3179 ),467334,(+/- 3718 ),488134,(+/- 4239 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,62013,(+/- 2954 ),83503,(+/- 3257 ),56708,(+/- 2878 ),64927,(+/- 3903 ),66905,(+/- 4259 )
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,109502,(+/- 876 ),130571,(+/- 1477 ),116056,(+/- 1684 ),107425,(+/- 1732 ),105617,(+/- 1382 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,39685,(+/- 1756 ),62713,(+/- 2501 ),49411,(+/- 2294 ),46696,(+/- 2537 ),41334,(+/- 2385 )
People,Residence 1 Year Ago,Population 1 year and over,786728,(+/- 2358 ),740597,(+/- 2830 ),769776,(+/- 3038 ),772318,(+/- 3962 ),803813,(+/- 3257 )
People,Residence 1 Year Ago,Same house,647960,(+/- 6562 ),640493,(+/- 5937 ),658429,(+/- 6119 ),630570,(+/- 8015 ),648026,(+/- 9550 )
People,Residence 1 Year Ago,Different house in the U.S.,134618,(+/- 6492 ),99461,(+/- 5553 ),108893,(+/- 5770 ),138823,(+/- 7227 ),150975,(+/- 9167 )
People,Residence 1 Year Ago,Same county,86592,(+/- 5610 ),54641,(+/- 4057 ),50131,(+/- 4199 ),79198,(+/- 6339 ),103016,(+/- 8158 )
People,Residence 1 Year Ago,Different county,48026,(+/- 3722 ),44820,(+/- 3376 ),58762,(+/- 4423 ),59625,(+/- 5405 ),47959,(+/- 4791 )
People,Residence 1 Year Ago,Same state,29195,(+/- 3148 ),28031,(+/- 2870 ),38665,(+/- 4074 ),32969,(+/- 4531 ),28332,(+/- 3237 )
People,Residence 1 Year Ago,Different state,18831,(+/- 2264 ),16789,(+/- 1855 ),20097,(+/- 3478 ),26656,(+/- 3246 ),19627,(+/- 3767 )
People,Residence 1 Year Ago,Abroad,4150,(+/- 1335 ),643,(+/- 260 ),2454,(+/- 1160 ),2925,(+/- 1406 ),4812,(+/- 2294 )
Workers,Employment Status,Population 16 years and over,616819,(+/- 1980 ),592541,(+/- 2529 ),610141,(+/- 2975 ),616432,(+/- 3402 ),627716,(+/- 2454 )
Workers,Employment Status,In labor force,405940,(+/- 4506 ),315011,(+/- 3864 ),363265,(+/- 5035 ),386097,(+/- 5859 ),398367,(+/- 6787 )
Workers,Employment Status,Civilian labor force,405677,(+/- 4494 ),314660,(+/- 3869 ),360526,(+/- 4950 ),375494,(+/- 5705 ),397282,(+/- 6835 )
Workers,Employment Status,Employed,381877,(+/- 4726 ),289643,(+/- 4508 ),340955,(+/- 5763 ),355233,(+/- 5479 ),375039,(+/- 6825 )
Workers,Employment Status,Unemployed,23800,(+/- 1653 ),25017,(+/- 2333 ),19571,(+/- 2446 ),20261,(+/- 2171 ),22243,(+/- 2454 )
Workers,Employment Status,Armed Forces,263,(+/- 192 ),351,(+/- 223 ),2739,(+/- 758 ),10603,(+/- 1198 ),1085,(+/- 446 )
Workers,Employment Status,Not in labor force,210879,(+/- 4442 ),277530,(+/- 4126 ),246876,(+/- 4855 ),230335,(+/- 5504 ),229349,(+/- 6669 )
Workers,Employment Status,Civilian labor force,405677,(+/- 4494 ),314660,(+/- 3869 ),360526,(+/- 4950 ),375494,(+/- 5705 ),397282,(+/- 6835 )
Workers,Employment Status,Unemployment Rate,5.9,(+/- 0.4 ),8.0,(+/- 0.7 ),5.4,(+/- 0.7 ),5.4,(+/- 0.6 ),5.6,(+/- 0.6 )
Workers,Commuting to Work,Workers 16 years and over,374831,(+/- 4657 ),283974,(+/- 4615 ),339194,(+/- 5814 ),360935,(+/- 5748 ),370555,(+/- 6651 )
Workers,Commuting to Work,"Car, truck, or van -- drove alone",309713,(+/- 4284 ),233940,(+/- 4558 ),282652,(+/- 5785 ),297913,(+/- 5805 ),303946,(+/- 6756 )
Workers,Commuting to Work,"Car, truck, or van -- carpooled",36838,(+/- 2529 ),30453,(+/- 2406 ),27538,(+/- 2331 ),31409,(+/- 3027 ),37881,(+/- 3295 )
Workers,Commuting to Work,Public transportation (excluding taxicab),1778,(+/- 476 ),645,(+/- 327 ),2243,(+/- 975 ),2019,(+/- 821 ),1977,(+/- 613 )
Workers,Commuting to Work,Walked,4183,(+/- 790 ),6021,(+/- 996 ),7737,(+/- 1726 ),4989,(+/- 1096 ),6566,(+/- 959 )
Workers,Commuting to Work,Other means,6210,(+/- 934 ),3638,(+/- 772 ),4442,(+/- 1060 ),5368,(+/- 1326 ),5329,(+/- 1143 )
Workers,Commuting to Work,Worked at home,16109,(+/- 1433 ),9277,(+/- 1032 ),14582,(+/- 1754 ),19237,(+/- 1919 ),14856,(+/- 1753 )
Workers,Commuting to Work,Mean travel time to work (minutes),20.7,(+/- 0.4 ),23.5,(+/- 0.5 ),20.8,(+/- 0.5 ),20.9,(+/- 0.5 ),21.4,(+/- 0.4 )
Workers,Occupation,Civilian employed population 16 years and over,381877,(+/- 4726 ),289643,(+/- 4508 ),340955,(+/- 5763 ),355233,(+/- 5479 ),375039,(+/- 6825 )
Workers,Occupation,"Management, business, science, and arts occupations",139113,(+/- 4560 ),83217,(+/- 2884 ),111201,(+/- 4125 ),124246,(+/- 5701 ),136771,(+/- 5154 )
Workers,Occupation,Service occupations,61342,(+/- 2784 ),55678,(+/- 2730 ),58968,(+/- 3721 ),62948,(+/- 3605 ),64509,(+/- 4337 )
Workers,Occupation,Sales and office occupations,100140,(+/- 3299 ),66523,(+/- 3136 ),79151,(+/- 4290 ),87593,(+/- 3596 ),92378,(+/- 4989 )
Workers,Occupation,"Natural resources, construction, and maintenance occupations",35610,(+/- 2095 ),35535,(+/- 2154 ),42762,(+/- 2688 ),37187,(+/- 3032 ),40356,(+/- 2386 )
Workers,Occupation,"Production, transportation, and material moving occupations",45672,(+/- 2463 ),48690,(+/- 2374 ),48873,(+/- 2787 ),43259,(+/- 2896 ),41025,(+/- 3423 )
Workers,Industry,Civilian employed population 16 years and over,381877,(+/- 4726 ),289643,(+/- 4508 ),340955,(+/- 5763 ),355233,(+/- 5479 ),375039,(+/- 6825 )
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",9331,(+/- 1138 ),13604,(+/- 1453 ),25984,(+/- 2219 ),12972,(+/- 1255 ),13320,(+/- 1368 )
Workers,Industry,Construction,26732,(+/- 2104 ),20152,(+/- 1514 ),23908,(+/- 2148 ),23164,(+/- 2219 ),32252,(+/- 2283 )
Workers,Industry,Manufacturing,44669,(+/- 2594 ),34935,(+/- 1932 ),29655,(+/- 2540 ),29074,(+/- 2802 ),27480,(+/- 2694 )
Workers,Industry,Wholesale trade,12674,(+/- 1368 ),6040,(+/- 885 ),7911,(+/- 1270 ),6272,(+/- 1208 ),10880,(+/- 1756 )
Workers,Industry,Retail trade,46338,(+/- 2092 ),34633,(+/- 1980 ),41775,(+/- 3462 ),42925,(+/- 2752 ),45078,(+/- 3504 )
Workers,Industry,"Transportation and warehousing, and utilities",19751,(+/- 1707 ),17822,(+/- 1679 ),21069,(+/- 2018 ),18320,(+/- 1977 ),13247,(+/- 1481 )
Workers,Industry,Information,9968,(+/- 1279 ),4468,(+/- 885 ),6530,(+/- 1474 ),5824,(+/- 1104 ),5553,(+/- 1127 )
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",23970,(+/- 1854 ),12646,(+/- 1374 ),14730,(+/- 1983 ),18033,(+/- 1970 ),22978,(+/- 2115 )
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",37584,(+/- 2245 ),17303,(+/- 1648 ),22830,(+/- 2216 ),28810,(+/- 2717 ),38706,(+/- 3239 )
Workers,Industry,"Educational services, and health care and social assistance",80806,(+/- 2873 ),65435,(+/- 2473 ),73573,(+/- 4158 ),85025,(+/- 4306 ),76969,(+/- 3761 )
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",38488,(+/- 2483 ),30095,(+/- 2466 ),32390,(+/- 2984 ),35890,(+/- 3065 ),42071,(+/- 3615 )
Workers,Industry,"Other services, except public administration",19938,(+/- 1642 ),14220,(+/- 1427 ),16347,(+/- 1761 ),16864,(+/- 1903 ),19752,(+/- 2323 )
Workers,Industry,Public administration,11628,(+/- 1152 ),18290,(+/- 1464 ),24253,(+/- 2239 ),32060,(+/- 3100 ),26753,(+/- 2143 )
Workers,Class of Worker,Civilian employed population 16 years and over,381877,(+/- 4726 ),289643,(+/- 4508 ),340955,(+/- 5763 ),355233,(+/- 5479 ),375039,(+/- 6825 )
Workers,Class of Worker,Private wage and salary workers,322213,(+/- 4942 ),213064,(+/- 4054 ),251072,(+/- 4863 ),253928,(+/- 5863 ),295367,(+/- 6720 )
Workers,Class of Worker,Government workers,38555,(+/- 2091 ),55839,(+/- 2522 ),64980,(+/- 3701 ),80348,(+/- 4792 ),54446,(+/- 3451 )
Workers,Class of Worker,Self-employed in own not incorporated business workers,20581,(+/- 1778 ),20137,(+/- 1656 ),24206,(+/- 2071 ),20380,(+/- 2295 ),24657,(+/- 2105 )
Workers,Class of Worker,Unpaid family workers,528,(+/- 305 ),603,(+/- 287 ),697,(+/- 482 ),577,(+/- 315 ),569,(+/- 316 )
Housing,Housing Occupancy,Total housing units,346905,(+/- 703 ),353724,(+/- 1069 ),337006,(+/- 1556 ),332783,(+/- 2314 ),350654,(+/- 2378 )
Housing,Housing Occupancy,Occupied housing units,312495,(+/- 1842 ),275946,(+/- 2458 ),281394,(+/- 3451 ),290128,(+/- 4062 ),309379,(+/- 3015 )
Housing,Housing Occupancy,Vacant housing units,34410,(+/- 1578 ),77778,(+/- 2306 ),55612,(+/- 3407 ),42655,(+/- 3039 ),41275,(+/- 3250 )
Housing,Housing Occupancy,Homeowner vacancy rate,1.9,(+/- 0.4 ),2.4,(+/- 0.4 ),2.3,(+/- 0.5 ),2.2,(+/- 0.6 ),1.7,(+/- 0.5 )
Housing,Housing Occupancy,Rental vacancy rate,7.4,(+/- 0.6 ),7.5,(+/- 0.9 ),7.3,(+/- 1.3 ),9.1,(+/- 1.6 ),8.9,(+/- 1.3 )
Housing,Housing Tenure,Occupied housing units,312495,(+/- 1842 ),275946,(+/- 2458 ),281394,(+/- 3451 ),290128,(+/- 4062 ),309379,(+/- 3015 )
Housing,Housing Tenure,Owner-occupied,191215,(+/- 2797 ),196635,(+/- 3059 ),194358,(+/- 3435 ),189198,(+/- 4255 ),182146,(+/- 3541 )
Housing,Housing Tenure,Renter-occupied,121280,(+/- 2864 ),79311,(+/- 2714 ),87036,(+/- 3283 ),100930,(+/- 3832 ),127233,(+/- 3918 )
Housing,Housing Tenure,Average household size of owner-occupied unit,2.60,(+/- 0.03 ),2.62,(+/- 0.03 ),2.70,(+/- 0.04 ),2.65,(+/- 0.04 ),2.66,(+/- 0.04 )
Housing,Housing Tenure,Average household size of renter-occupied unit,2.39,(+/- 0.04 ),2.66,(+/- 0.06 ),2.59,(+/- 0.08 ),2.50,(+/- 0.06 ),2.45,(+/- 0.06 )
Housing,Year Householder Moved into Unit,Occupied housing units,312495,(+/- 1842 ),275946,(+/- 2458 ),281394,(+/- 3451 ),290128,(+/- 4062 ),309379,(+/- 3015 )
Housing,Year Householder Moved into Unit,Moved in 2015 or later,74790,(+/- 2638 ),45914,(+/- 2473 ),54673,(+/- 3302 ),65763,(+/- 3611 ),77570,(+/- 3926 )
Housing,Year Householder Moved into Unit,Moved in 2010 to 2014,93303,(+/- 2739 ),74228,(+/- 3039 ),76164,(+/- 2635 ),85581,(+/- 3741 ),94833,(+/- 4783 )
Housing,Year Householder Moved into Unit,Moved in 2000 to 2009,77545,(+/- 2783 ),77798,(+/- 2553 ),75281,(+/- 3227 ),74718,(+/- 3422 ),70617,(+/- 3292 )
Housing,Year Householder Moved into Unit,Moved in 1990 to 1999,33188,(+/- 2016 ),37633,(+/- 2137 ),35392,(+/- 2218 ),31652,(+/- 2168 ),30726,(+/- 1812 )
Housing,Year Householder Moved into Unit,Moved in 1980 to 1989,16590,(+/- 1404 ),19955,(+/- 1533 ),19304,(+/- 1426 ),16036,(+/- 1764 ),15836,(+/- 1252 )
Housing,Year Householder Moved into Unit,Moved in 1979 and earlier,17079,(+/- 1431 ),20418,(+/- 1295 ),20580,(+/- 1714 ),16378,(+/- 1332 ),19797,(+/- 1685 )
Housing,Value,Owner-occupied units,191215,(+/- 2797 ),196635,(+/- 3059 ),194358,(+/- 3435 ),189198,(+/- 4255 ),182146,(+/- 3541 )
Housing,Value,"Less than $50,000",16324,(+/- 1127 ),39130,(+/- 1507 ),32509,(+/- 1875 ),19343,(+/- 1502 ),15757,(+/- 1455 )
Housing,Value,"$50,000 to $99,999",34934,(+/- 1884 ),60700,(+/- 2482 ),47610,(+/- 2055 ),40079,(+/- 2878 ),40479,(+/- 2045 )
Housing,Value,"$100,000 to $149,999",44202,(+/- 2166 ),34955,(+/- 1768 ),37538,(+/- 2208 ),39967,(+/- 2921 ),37196,(+/- 2218 )
Housing,Value,"$150,000 to $199,999",38325,(+/- 1956 ),24396,(+/- 1830 ),29701,(+/- 1864 ),36500,(+/- 2528 ),32370,(+/- 2143 )
Housing,Value,"$200,000 to $299,999",33847,(+/- 2182 ),20294,(+/- 1595 ),29110,(+/- 1952 ),32313,(+/- 1787 ),28844,(+/- 2124 )
Housing,Value,"$300,000 to $499,999",15975,(+/- 1134 ),11653,(+/- 1078 ),12896,(+/- 1486 ),15856,(+/- 1524 ),18124,(+/- 1562 )
Housing,Value,"$500,000 to $999,999",6062,(+/- 719 ),4613,(+/- 806 ),3920,(+/- 778 ),4319,(+/- 1032 ),7602,(+/- 1071 )
Housing,Value,"$1,000,000 or more",1546,(+/- 357 ),894,(+/- 227 ),1074,(+/- 447 ),821,(+/- 321 ),1774,(+/- 587 )
Housing,Value,Median (dollars),150200,(+/- 2165 ),98300,(+/- 2219 ),120000,(+/- 2568 ),143900,(+/- 3814 ),146800,(+/- 2922 )
Housing,Mortgage Status,Owner-occupied units,191215,(+/- 2797 ),196635,(+/- 3059 ),194358,(+/- 3435 ),189198,(+/- 4255 ),182146,(+/- 3541 )
Housing,Mortgage Status,Housing units with a mortgage,121827,(+/- 2975 ),91663,(+/- 2602 ),96653,(+/- 3416 ),114503,(+/- 4523 ),108219,(+/- 3926 )
Housing,Mortgage Status,Housing units without a mortgage,69388,(+/- 2095 ),104972,(+/- 2944 ),97705,(+/- 2905 ),74695,(+/- 2678 ),73927,(+/- 3117 )
Housing,Selected Monthly Owner Costs(SMOC),Housing units with a mortgage,121827,(+/- 2975 ),91663,(+/- 2602 ),96653,(+/- 3416 ),114503,(+/- 4523 ),108219,(+/- 3926 )
Housing,Selected Monthly Owner Costs(SMOC),Less than $500,2310,(+/- 566 ),6096,(+/- 845 ),2572,(+/- 648 ),2093,(+/- 472 ),2061,(+/- 478 )
Housing,Selected Monthly Owner Costs(SMOC),$500 to $999,34749,(+/- 2005 ),43292,(+/- 2100 ),35797,(+/- 2084 ),35511,(+/- 2643 ),29811,(+/- 2202 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 to $1,499",46292,(+/- 2279 ),27653,(+/- 1705 ),33407,(+/- 2435 ),41768,(+/- 3045 ),38787,(+/- 3287 )
