Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE,District 10 Estimate,District 10 MOE,District 11 Estimate,District 11 MOE,District 12 Estimate,District 12 MOE
People,Sex and Age,65 to 74 years,65097,(+/- 1527 ),76560,(+/- 2001 ),79728,(+/- 2292 ),72185,(+/- 3404 ),67029,(+/- 2629 ),56913,(+/- 2584 ),62965,(+/- 2562 ),48962,(+/- 2285 ),62621,(+/- 2619 ),51743,(+/- 2557 ),71855,(+/- 2595 ),65488,(+/- 2915 )
People,Sex and Age,75 to 84 years,30765,(+/- 1521 ),36402,(+/- 2173 ),41403,(+/- 2521 ),38924,(+/- 2830 ),33205,(+/- 2302 ),29576,(+/- 2373 ),32375,(+/- 2324 ),23228,(+/- 2112 ),33396,(+/- 2198 ),25139,(+/- 1793 ),35531,(+/- 2154 ),32292,(+/- 2512 )
People,Sex and Age,85 years and over,15809,(+/- 1447 ),16123,(+/- 1654 ),20112,(+/- 1643 ),21354,(+/- 2103 ),18868,(+/- 1754 ),13834,(+/- 1531 ),17717,(+/- 1916 ),8856,(+/- 1398 ),16316,(+/- 1761 ),10356,(+/- 1449 ),22067,(+/- 2060 ),17361,(+/- 1689 )
People,Sex and Age,Median age (years),38.8,(+/- 0.4 ),41.4,(+/- 0.4 ),43.3,(+/- 0.6 ),41.3,(+/- 0.8 ),42.3,(+/- 0.6 ),37.6,(+/- 0.6 ),42.7,(+/- 0.6 ),35.0,(+/- 0.5 ),38.3,(+/- 0.5 ),35.3,(+/- 0.6 ),43.4,(+/- 0.6 ),39.4,(+/- 0.7 )
People,Sex and Age,18 years and over,568241,(+/- 4949 ),568389,(+/- 5965 ),587456,(+/- 5185 ),554888,(+/- 6794 ),575672,(+/- 8914 ),590652,(+/- 6746 ),568658,(+/- 8131 ),611829,(+/- 8619 ),591371,(+/- 8280 ),575797,(+/- 8715 ),579004,(+/- 7092 ),588073,(+/- 6812 )
People,Sex and Age,65 years and over,111671,(+/- 1836 ),129085,(+/- 2303 ),141243,(+/- 3031 ),132463,(+/- 4497 ),119102,(+/- 3725 ),100323,(+/- 3418 ),113057,(+/- 3320 ),81046,(+/- 2660 ),112333,(+/- 3669 ),87238,(+/- 3289 ),129453,(+/- 3263 ),115141,(+/- 3719 )
People,Race,Total population,731932,(+/- 6707 ),725217,(+/- 7381 ),739696,(+/- 6009 ),732142,(+/- 7019 ),742865,(+/- 11998 ),750419,(+/- 9783 ),732070,(+/- 10384 ),778294,(+/- 11151 ),760005,(+/- 11073 ),758062,(+/- 11540 ),733706,(+/- 8600 ),760061,(+/- 10059 )
People,Race,One race,709189,(+/- 6965 ),703556,(+/- 7711 ),715970,(+/- 6912 ),720955,(+/- 7144 ),725902,(+/- 11753 ),731800,(+/- 9822 ),717626,(+/- 9787 ),748846,(+/- 11411 ),735584,(+/- 12104 ),734540,(+/- 12309 ),717364,(+/- 8931 ),745811,(+/- 10421 )
People,Race,White,496612,(+/- 6382 ),546696,(+/- 7774 ),589354,(+/- 6291 ),620052,(+/- 9764 ),590674,(+/- 11799 ),478266,(+/- 11343 ),577034,(+/- 10428 ),446678,(+/- 12181 ),472714,(+/- 11513 ),219967,(+/- 10155 ),601372,(+/- 9104 ),451489,(+/- 11333 )
People,Race,Black or African American,124284,(+/- 4030 ),88141,(+/- 4335 ),80013,(+/- 4088 ),49719,(+/- 4721 ),40044,(+/- 4267 ),75216,(+/- 5526 ),36403,(+/- 4640 ),80266,(+/- 7656 ),76785,(+/- 4856 ),390048,(+/- 9368 ),23824,(+/- 3530 ),129842,(+/- 8710 )
People,Race,American Indian and Alaska Native,1032,(+/- 748 ),3224,(+/- 1059 ),672,(+/- 423 ),893,(+/- 543 ),1858,(+/- 666 ),1482,(+/- 805 ),923,(+/- 673 ),2820,(+/- 969 ),1405,(+/- 925 ),2300,(+/- 1207 ),201,(+/- 281 ),3375,(+/- 1958 )
People,Race,Asian,37977,(+/- 1321 ),29107,(+/- 1651 ),29249,(+/- 1948 ),27752,(+/- 3165 ),81953,(+/- 5630 ),144939,(+/- 6030 ),69706,(+/- 5215 ),73314,(+/- 5308 ),95245,(+/- 6475 ),53137,(+/- 5331 ),79065,(+/- 4837 ),132737,(+/- 7359 )
People,Race,Native Hawaiian and Other Pacific Islander,38,(+/- 63 ),243,(+/- 224 ),693,(+/- 843 ),495,(+/- 749 ),460,(+/- 659 ),261,(+/- 314 ),73,(+/- 128 ),529,(+/- 546 ),545,(+/- 444 ),202,(+/- 240 ),0,(+/- 200 ),215,(+/- 224 )
People,Race,Some other race,49246,(+/- 5091 ),36145,(+/- 5857 ),15989,(+/- 4259 ),22044,(+/- 5754 ),10913,(+/- 2963 ),31636,(+/- 5511 ),33487,(+/- 6164 ),145239,(+/- 12073 ),88890,(+/- 7940 ),68886,(+/- 8324 ),12902,(+/- 3319 ),28153,(+/- 6521 )
People,Race,Two or more races,22743,(+/- 3634 ),21661,(+/- 4444 ),23726,(+/- 3188 ),11187,(+/- 2162 ),16963,(+/- 2610 ),18619,(+/- 3083 ),14444,(+/- 2628 ),29448,(+/- 4468 ),24421,(+/- 4303 ),23522,(+/- 4185 ),16342,(+/- 2648 ),14250,(+/- 2791 )
People,Hispanic or Latino and Race,Total population,731932,(+/- 6707 ),725217,(+/- 7381 ),739696,(+/- 6009 ),732142,(+/- 7019 ),742865,(+/- 11998 ),750419,(+/- 9783 ),732070,(+/- 10384 ),778294,(+/- 11151 ),760005,(+/- 11073 ),758062,(+/- 11540 ),733706,(+/- 8600 ),760061,(+/- 10059 )
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),99258,(+/- 2962 ),119139,(+/- 3711 ),59571,(+/- 4543 ),74041,(+/- 6873 ),104283,(+/- 7869 ),164848,(+/- 7636 ),94942,(+/- 7024 ),405301,(+/- 10491 ),285668,(+/- 8906 ),159774,(+/- 8872 ),82080,(+/- 7209 ),137764,(+/- 7990 )
People,Hispanic or Latino and Race,Mexican,12659,(+/- 3790 ),38831,(+/- 5744 ),13021,(+/- 4331 ),26000,(+/- 4946 ),6783,(+/- 2619 ),36210,(+/- 6453 ),12757,(+/- 4814 ),22960,(+/- 4776 ),40620,(+/- 6584 ),12216,(+/- 3256 ),10933,(+/- 4755 ),12155,(+/- 3574 )
People,Hispanic or Latino and Race,Puerto Rican,57673,(+/- 5311 ),51384,(+/- 4636 ),25121,(+/- 3871 ),20559,(+/- 3739 ),23521,(+/- 4019 ),43833,(+/- 6307 ),19035,(+/- 3333 ),79605,(+/- 6345 ),52052,(+/- 6290 ),43011,(+/- 6013 ),18177,(+/- 3251 ),36172,(+/- 5964 )
People,Hispanic or Latino and Race,Cuban,2984,(+/- 1184 ),1585,(+/- 772 ),3489,(+/- 1806 ),2130,(+/- 810 ),7121,(+/- 1628 ),6833,(+/- 2170 ),6602,(+/- 2162 ),32543,(+/- 4347 ),8348,(+/- 2095 ),5135,(+/- 1387 ),6943,(+/- 1914 ),2222,(+/- 1416 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,25942,(+/- 4287 ),27339,(+/- 4095 ),17940,(+/- 2899 ),25352,(+/- 5229 ),66858,(+/- 7566 ),77972,(+/- 6021 ),56548,(+/- 7168 ),270193,(+/- 12677 ),184648,(+/- 9613 ),99412,(+/- 7604 ),46027,(+/- 5323 ),87215,(+/- 8312 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,632674,(+/- 6149 ),606078,(+/- 6230 ),680125,(+/- 6961 ),658101,(+/- 8769 ),638582,(+/- 10211 ),585571,(+/- 8065 ),637128,(+/- 8376 ),372993,(+/- 10094 ),474337,(+/- 10584 ),598288,(+/- 10236 ),651626,(+/- 7390 ),622297,(+/- 8663 )
People,Place of Birth,Total population,731932,(+/- 6707 ),725217,(+/- 7381 ),739696,(+/- 6009 ),732142,(+/- 7019 ),742865,(+/- 11998 ),750419,(+/- 9783 ),732070,(+/- 10384 ),778294,(+/- 11151 ),760005,(+/- 11073 ),758062,(+/- 11540 ),733706,(+/- 8600 ),760061,(+/- 10059 )
People,Place of Birth,Native,660301,(+/- 8022 ),649072,(+/- 7817 ),672173,(+/- 7212 ),644666,(+/- 6988 ),592496,(+/- 10800 ),529205,(+/- 9483 ),592318,(+/- 9949 ),432177,(+/- 10136 ),468546,(+/- 11241 ),538025,(+/- 13901 ),599555,(+/- 8189 ),549850,(+/- 10867 )
People,Place of Birth,Born in United States,641306,(+/- 8032 ),623997,(+/- 7907 ),660756,(+/- 7521 ),632506,(+/- 7070 ),583148,(+/- 10651 ),512943,(+/- 9474 ),577910,(+/- 10246 ),396549,(+/- 9654 ),443956,(+/- 11296 ),517906,(+/- 13698 ),591243,(+/- 8040 ),532163,(+/- 10329 )
People,Place of Birth,State of residence,401711,(+/- 7563 ),433673,(+/- 9143 ),457535,(+/- 8218 ),432352,(+/- 9187 ),388808,(+/- 10236 ),373193,(+/- 9818 ),406949,(+/- 10303 ),285204,(+/- 9542 ),326260,(+/- 8695 ),379905,(+/- 13007 ),426051,(+/- 8976 ),355492,(+/- 10257 )
People,Place of Birth,Different state,239595,(+/- 7287 ),190324,(+/- 6185 ),203221,(+/- 6363 ),200154,(+/- 7827 ),194340,(+/- 7493 ),139750,(+/- 6465 ),170961,(+/- 6646 ),111345,(+/- 5393 ),117696,(+/- 7696 ),138001,(+/- 7023 ),165192,(+/- 6894 ),176671,(+/- 7815 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",18995,(+/- 2366 ),25075,(+/- 4245 ),11417,(+/- 1910 ),12160,(+/- 2411 ),9348,(+/- 1536 ),16262,(+/- 2347 ),14408,(+/- 3261 ),35628,(+/- 3531 ),24590,(+/- 2762 ),20119,(+/- 3391 ),8312,(+/- 1592 ),17687,(+/- 3115 )
People,Place of Birth,Foreign born,71631,(+/- 4498 ),76145,(+/- 4315 ),67523,(+/- 4497 ),87476,(+/- 5409 ),150369,(+/- 7764 ),221214,(+/- 7496 ),139752,(+/- 7779 ),346117,(+/- 9948 ),291459,(+/- 10139 ),220037,(+/- 8703 ),134151,(+/- 6329 ),210211,(+/- 7890 )
People,Ancestry,Total population,731932,(+/- 6707 ),725217,(+/- 7381 ),739696,(+/- 6009 ),732142,(+/- 7019 ),742865,(+/- 11998 ),750419,(+/- 9783 ),732070,(+/- 10384 ),778294,(+/- 11151 ),760005,(+/- 11073 ),758062,(+/- 11540 ),733706,(+/- 8600 ),760061,(+/- 10059 )
People,Ancestry,American,20668,(+/- 3004 ),21392,(+/- 2562 ),23621,(+/- 3526 ),37682,(+/- 5962 ),31730,(+/- 4426 ),22871,(+/- 3629 ),29443,(+/- 3662 ),33559,(+/- 4151 ),21771,(+/- 3608 ),38171,(+/- 4508 ),27308,(+/- 3738 ),23573,(+/- 3240 )
People,Ancestry,Arab,5353,(+/- 2273 ),2153,(+/- 884 ),4239,(+/- 1612 ),10245,(+/- 3479 ),7722,(+/- 2543 ),8044,(+/- 2452 ),8410,(+/- 2202 ),11201,(+/- 3158 ),24165,(+/- 5334 ),9812,(+/- 2601 ),11072,(+/- 3675 ),10175,(+/- 2574 )
People,Ancestry,Czech,1287,(+/- 639 ),2021,(+/- 737 ),2639,(+/- 1055 ),2430,(+/- 755 ),3205,(+/- 1032 ),1346,(+/- 578 ),4276,(+/- 1405 ),766,(+/- 326 ),1083,(+/- 495 ),771,(+/- 446 ),2722,(+/- 1064 ),863,(+/- 345 )
People,Ancestry,Danish,951,(+/- 584 ),1002,(+/- 440 ),2208,(+/- 944 ),3200,(+/- 1245 ),1413,(+/- 700 ),1800,(+/- 641 ),3365,(+/- 1152 ),248,(+/- 228 ),250,(+/- 352 ),377,(+/- 375 ),2756,(+/- 1240 ),1179,(+/- 500 )
People,Ancestry,Dutch,5338,(+/- 1751 ),8319,(+/- 2156 ),7538,(+/- 1523 ),7179,(+/- 1346 ),19632,(+/- 2991 ),4649,(+/- 1427 ),12297,(+/- 2212 ),1530,(+/- 822 ),5058,(+/- 1211 ),1282,(+/- 781 ),13194,(+/- 2310 ),5151,(+/- 1345 )
People,Ancestry,English,49831,(+/- 3551 ),61533,(+/- 5524 ),56085,(+/- 4500 ),41489,(+/- 4080 ),40178,(+/- 4576 ),22665,(+/- 3000 ),48572,(+/- 3519 ),10107,(+/- 1705 ),11127,(+/- 1832 ),7973,(+/- 1537 ),41414,(+/- 4078 ),28238,(+/- 3200 )
People,Ancestry,French (except Basque),9887,(+/- 1853 ),10809,(+/- 1977 ),13721,(+/- 2476 ),10158,(+/- 1915 ),10289,(+/- 2347 ),6596,(+/- 1417 ),12268,(+/- 2267 ),4804,(+/- 1200 ),3818,(+/- 1077 ),2005,(+/- 773 ),9814,(+/- 1628 ),8877,(+/- 2595 )
People,Ancestry,French Canadian,2279,(+/- 764 ),2942,(+/- 2117 ),3687,(+/- 1100 ),2401,(+/- 1040 ),1989,(+/- 755 ),1462,(+/- 831 ),2922,(+/- 899 ),538,(+/- 281 ),982,(+/- 582 ),212,(+/- 143 ),2153,(+/- 768 ),1236,(+/- 465 )
People,Ancestry,German,119229,(+/- 7426 ),122875,(+/- 6933 ),127630,(+/- 7206 ),95385,(+/- 5243 ),96226,(+/- 5830 ),53513,(+/- 4510 ),98798,(+/- 6696 ),24036,(+/- 2744 ),28836,(+/- 2796 ),16450,(+/- 2020 ),90768,(+/- 6608 ),59754,(+/- 4832 )
People,Ancestry,Greek,3732,(+/- 1396 ),3796,(+/- 1040 ),5279,(+/- 1498 ),7721,(+/- 1927 ),10238,(+/- 2509 ),5561,(+/- 1962 ),9030,(+/- 2181 ),2124,(+/- 848 ),4530,(+/- 1848 ),1940,(+/- 850 ),6657,(+/- 1665 ),3106,(+/- 1056 )
People,Ancestry,Hungarian,4366,(+/- 1130 ),4823,(+/- 1334 ),10776,(+/- 2075 ),15006,(+/- 3434 ),9790,(+/- 1547 ),8930,(+/- 1619 ),12638,(+/- 2530 ),3437,(+/- 1487 ),4044,(+/- 1112 ),2008,(+/- 649 ),8945,(+/- 1835 ),11563,(+/- 2435 )
People,Ancestry,Irish,153650,(+/- 7219 ),142864,(+/- 7455 ),163637,(+/- 6359 ),144370,(+/- 7249 ),120877,(+/- 6376 ),91416,(+/- 5953 ),117625,(+/- 7365 ),35608,(+/- 3441 ),38904,(+/- 4113 ),26817,(+/- 3044 ),116277,(+/- 5827 ),72772,(+/- 5224 )
People,Ancestry,Italian,133592,(+/- 6381 ),133209,(+/- 7045 ),162241,(+/- 8720 ),162665,(+/- 10719 ),143768,(+/- 7921 ),98062,(+/- 6564 ),130727,(+/- 6654 ),46294,(+/- 3885 ),80861,(+/- 6831 ),30509,(+/- 3910 ),182320,(+/- 8658 ),88793,(+/- 6949 )
People,Ancestry,Lithuanian,3513,(+/- 1089 ),2636,(+/- 826 ),3624,(+/- 1042 ),3028,(+/- 1064 ),2646,(+/- 976 ),2752,(+/- 882 ),2878,(+/- 959 ),1575,(+/- 642 ),762,(+/- 342 ),612,(+/- 354 ),2730,(+/- 857 ),2251,(+/- 847 )
People,Ancestry,Norwegian,2956,(+/- 1018 ),3012,(+/- 924 ),4427,(+/- 1260 ),4978,(+/- 1424 ),4754,(+/- 1542 ),3012,(+/- 937 ),5835,(+/- 1370 ),833,(+/- 543 ),1642,(+/- 842 ),1767,(+/- 721 ),4593,(+/- 998 ),3170,(+/- 1004 )
People,Ancestry,Polish,39479,(+/- 4435 ),33818,(+/- 3510 ),52987,(+/- 4288 ),59928,(+/- 5206 ),36292,(+/- 3453 ),42495,(+/- 3909 ),56196,(+/- 4764 ),16445,(+/- 2101 ),40844,(+/- 4725 ),19251,(+/- 3273 ),50653,(+/- 4616 ),42055,(+/- 4745 )
People,Ancestry,Portuguese,2212,(+/- 1197 ),966,(+/- 459 ),5480,(+/- 2118 ),4475,(+/- 1535 ),3670,(+/- 1988 ),9359,(+/- 2347 ),10826,(+/- 2405 ),20876,(+/- 3192 ),3832,(+/- 1323 ),8566,(+/- 2412 ),5618,(+/- 1522 ),3518,(+/- 1180 )
People,Ancestry,Russian,11013,(+/- 1963 ),7720,(+/- 1449 ),11809,(+/- 1984 ),21230,(+/- 3366 ),25191,(+/- 4514 ),16055,(+/- 2688 ),19194,(+/- 2796 ),6463,(+/- 1576 ),14262,(+/- 2499 ),6361,(+/- 1544 ),19848,(+/- 3017 ),18137,(+/- 2715 )
People,Ancestry,Scotch-Irish,3325,(+/- 944 ),3819,(+/- 1017 ),5131,(+/- 1317 ),4015,(+/- 1209 ),2605,(+/- 947 ),1518,(+/- 509 ),3805,(+/- 992 ),1584,(+/- 649 ),1382,(+/- 621 ),911,(+/- 450 ),3399,(+/- 1070 ),2298,(+/- 788 )
People,Ancestry,Scottish,7002,(+/- 1620 ),7748,(+/- 1461 ),10248,(+/- 1860 ),9147,(+/- 2043 ),7605,(+/- 1640 ),7362,(+/- 1801 ),11344,(+/- 2043 ),3239,(+/- 1070 ),3983,(+/- 1741 ),2326,(+/- 868 ),9863,(+/- 1840 ),6205,(+/- 1320 )
People,Ancestry,Slovak,1001,(+/- 457 ),864,(+/- 462 ),3035,(+/- 1015 ),4649,(+/- 1436 ),2726,(+/- 918 ),3596,(+/- 955 ),4352,(+/- 1079 ),1159,(+/- 578 ),1633,(+/- 737 ),1567,(+/- 912 ),3012,(+/- 946 ),3185,(+/- 1265 )
People,Ancestry,Subsaharan African,7980,(+/- 2886 ),4248,(+/- 1540 ),5350,(+/- 2407 ),5253,(+/- 2187 ),4065,(+/- 1620 ),7535,(+/- 2480 ),3028,(+/- 1597 ),5828,(+/- 1932 ),3183,(+/- 1453 ),31827,(+/- 5201 ),1980,(+/- 1049 ),10387,(+/- 3263 )
People,Ancestry,Swedish,2278,(+/- 697 ),5833,(+/- 1702 ),6496,(+/- 2041 ),6308,(+/- 1696 ),7103,(+/- 1845 ),2691,(+/- 755 ),8053,(+/- 2199 ),1749,(+/- 677 ),846,(+/- 466 ),1397,(+/- 481 ),6869,(+/- 2222 ),3468,(+/- 975 )
People,Ancestry,Swiss,876,(+/- 355 ),1290,(+/- 759 ),1626,(+/- 755 ),1796,(+/- 691 ),3431,(+/- 1665 ),1147,(+/- 766 ),2397,(+/- 902 ),626,(+/- 515 ),1084,(+/- 678 ),426,(+/- 311 ),2071,(+/- 621 ),1047,(+/- 505 )
People,Ancestry,Ukrainian,4295,(+/- 1059 ),3129,(+/- 870 ),5824,(+/- 1365 ),6945,(+/- 1741 ),9020,(+/- 2835 ),7082,(+/- 1717 ),7776,(+/- 2107 ),2858,(+/- 900 ),4978,(+/- 1766 ),1902,(+/- 814 ),5789,(+/- 1514 ),4512,(+/- 1115 )
People,Ancestry,Welsh,4034,(+/- 1126 ),4573,(+/- 1510 ),4038,(+/- 1132 ),2446,(+/- 1169 ),2437,(+/- 797 ),1005,(+/- 560 ),2525,(+/- 849 ),773,(+/- 487 ),719,(+/- 397 ),790,(+/- 485 ),2231,(+/- 853 ),3673,(+/- 1341 )
People,Ancestry,West Indian (excluding Hispanic origin groups),5285,(+/- 1429 ),7610,(+/- 2846 ),9380,(+/- 3374 ),11865,(+/- 3202 ),9574,(+/- 3072 ),11048,(+/- 2535 ),4966,(+/- 1338 ),14653,(+/- 3671 ),13212,(+/- 3379 ),69328,(+/- 8605 ),5511,(+/- 1756 ),13849,(+/- 4023 )
People,Veteran Status,Civilian population 18 years and over,568113,(+/- 4941 ),566997,(+/- 6040 ),581935,(+/- 5006 ),554600,(+/- 6732 ),575533,(+/- 8918 ),590504,(+/- 6733 ),568560,(+/- 8132 ),611510,(+/- 8647 ),590675,(+/- 8334 ),575525,(+/- 8693 ),578910,(+/- 7075 ),588001,(+/- 6823 )
People,Veteran Status,Civilian veterans,35421,(+/- 1899 ),37292,(+/- 2428 ),49049,(+/- 2641 ),35652,(+/- 2521 ),27004,(+/- 2702 ),23422,(+/- 2064 ),26744,(+/- 2076 ),11618,(+/- 1640 ),18384,(+/- 1999 ),16910,(+/- 1733 ),25600,(+/- 2008 ),23670,(+/- 2302 )
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,725095,(+/- 6704 ),706564,(+/- 7681 ),721744,(+/- 6291 ),726860,(+/- 7035 ),735479,(+/- 12368 ),742976,(+/- 9886 ),723578,(+/- 10543 ),771867,(+/- 11897 ),757110,(+/- 11169 ),747470,(+/- 11858 ),726757,(+/- 8505 ),752078,(+/- 10180 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,94162,(+/- 5077 ),99534,(+/- 5252 ),91764,(+/- 4496 ),84823,(+/- 5352 ),63251,(+/- 4112 ),70824,(+/- 4743 ),65476,(+/- 4495 ),75597,(+/- 4940 ),63046,(+/- 3949 ),83313,(+/- 4269 ),64217,(+/- 3973 ),71109,(+/- 4577 )
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,163640,(+/- 3091 ),156559,(+/- 3038 ),151344,(+/- 4504 ),177132,(+/- 5149 ),166850,(+/- 5338 ),159645,(+/- 5978 ),161725,(+/- 5207 ),166465,(+/- 6237 ),168380,(+/- 5119 ),181880,(+/- 6646 ),154539,(+/- 4884 ),171789,(+/- 6954 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,7639,(+/- 1514 ),7986,(+/- 1597 ),6445,(+/- 1442 ),4633,(+/- 1061 ),4462,(+/- 1113 ),4098,(+/- 933 ),3672,(+/- 941 ),5872,(+/- 1172 ),3261,(+/- 899 ),6673,(+/- 1407 ),4452,(+/- 1066 ),4304,(+/- 1403 )
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,453383,(+/- 5011 ),425038,(+/- 6201 ),432983,(+/- 5221 ),420810,(+/- 6633 ),454579,(+/- 8304 ),485528,(+/- 7682 ),451977,(+/- 7965 ),526722,(+/- 9363 ),477229,(+/- 8040 ),480493,(+/- 9022 ),448030,(+/- 6316 ),468344,(+/- 6985 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,49530,(+/- 3964 ),50826,(+/- 4056 ),43245,(+/- 3229 ),36343,(+/- 3660 ),28130,(+/- 2690 ),34496,(+/- 3451 ),27381,(+/- 3168 ),39931,(+/- 3418 ),26104,(+/- 2266 ),43983,(+/- 3258 ),23957,(+/- 2427 ),31339,(+/- 3145 )
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,108072,(+/- 1890 ),124967,(+/- 2514 ),137417,(+/- 2970 ),128918,(+/- 4509 ),114050,(+/- 3812 ),97803,(+/- 3532 ),109876,(+/- 3219 ),78680,(+/- 2648 ),111501,(+/- 3682 ),85097,(+/- 3165 ),124188,(+/- 3255 ),111945,(+/- 3789 )
